#,Card Name,Cost,Atk,HP,Type,Subtype,Rarity,Keywords,Card Text,Flavor Text,STARFORGE
17,Arena Challenger,2,3,2,Minion,,Common,,,3/2 for 2. Solid. Boring. Effective.,
18,Feral Tracker,2,2,2,Minion,Beast,Common,SWIFT,SWIFT.,Tracks prey. Hunts immediately. Five-star predator.,
19,Energizer Bot,2,1,3,Minion,Mech,Common,,End of Turn: Give a random friendly minion +1 Attack.,Keeps going. And going. And buffing.,
20,Shady Merchant,2,2,2,Minion,,Common,DEPLOY,DEPLOY: Discover a card. It costs (1) more.,Great selection. Terrible prices.,
21,Nova Hound,2,2,1,Minion,Beast,Common,BLITZ,BLITZ.,Fetches faces. Good boy. Violent boy.,
22,Cosmic Twins,2,1,1,Minion,,Common,DEPLOY,DEPLOY: Summon a copy of this minion.,Two for one. Both equally unimpressive. Together? Still unimpressive. But TWO of them.,
23,Medic Drone,2,1,3,Minion,Mech,Common,DEPLOY,DEPLOY: Restore 3 Health to a friendly character.,Heals wounds. Asks no questions. Good bedside manner for a robot.,
24,Warp Runner,2,3,1,Minion,,Common,,DEPLOY: Deal 1 damage to the enemy Hero.,Arrives fast. Hits once. Dies soon. Efficient.,
25,Scrap Hound,2,2,2,Minion,Mech,Common,SALVAGE,SALVAGE.,Junkyard dog. Gives you a card when it dies. Good dog.,
26,Starport Lookout,2,1,4,Minion,,Common,,"Whenever your opponent plays a card, gain +1 Attack.",Watches. Grows. Never blinks.,
27,Spark Elemental,2,3,1,Minion,Elemental,Common,"BLITZ, IMMOLATE",BLITZ. IMMOLATE: Deal 1 damage to all enemies.,Charges. Dies. Takes everyone down with it.,
28,Moon Priestess,2,1,3,Minion,,Common,ILLUMINATE,ILLUMINATE: Gain +1/+1.,Heals the moon. Gets bigger. Moon-related fitness.,
29,Cosmic Enforcer,3,3,3,Minion,,Common,,,3/3 for 3. The platonic ideal of a minion.,
30,Starship Pilot,3,3,2,Minion,,Common,"SWIFT, DEPLOY",SWIFT. DEPLOY: Deal 1 damage.,Flies in. Shoots once. Not a great pilot. Great card.,
31,Galactic Brawler,3,4,2,Minion,,Common,,"Whenever this kills a minion, gain +1/+1.",Fights. Wins. Gets buffer. Fights again.,
32,Nebula Drake,3,3,4,Minion,Beast,Common,,,Mini dragon. Maximum stats for 3 mana. No bells. No whistles. Just BEEF.,
33,Void Watcher,3,2,4,Minion,,Common,,Gains +1 Attack whenever a card is destroyed or discarded.,Feeds on loss. Yours or theirs. It doesn't care.,
34,Turbo Charger,3,2,3,Minion,Mech,Common,DEPLOY,DEPLOY: Give a friendly minion SWIFT.,Gives SWIFT to friends. Is also a friend. Win-win.,
35,Ironbark Defender,3,1,6,Minion,,Common,GUARDIAN,GUARDIAN.,Big Health. Small Attack. Enormous annoyance.,
36,Bounty Hunter,3,3,3,Minion,,Common,DEPLOY,DEPLOY: Deal 2 damage to a minion.,Professional target elimination. Tips appreciated.,
37,Harvest Golem,3,2,3,Minion,Mech,Common,LAST WORDS,LAST WORDS: Summon a 2/1 Damaged Golem.,Dies once. Comes back worse. Still annoying.,
38,Cosmic Vulture,3,3,2,Minion,Beast,Common,,"Whenever a minion dies, draw a card.",Circling overhead. Waiting for death. Drawing cards from it.,
39,Prism Guard,3,2,4,Minion,,Common,BARRIER,BARRIER.,One free hit absorbed. Then it's just a 2/4. Still solid.,
40,Void Stalker,3,3,3,Minion,,Common,CLOAK,CLOAK.,You can't see it. But it can see you. And it has 3 Attack.,
41,Temporal Scout,3,2,2,Minion,,Common,ECHO,ECHO.,"Play it twice. Two scouts for the price of... well, two prices.",
42,Nest Defender,3,2,5,Minion,Beast,Common,GUARDIAN,GUARDIAN.,Protects the nest. The nest doesn't exist. Still guards it.,
43,Reactor Core,3,0,5,Minion,Mech,Common,,End of Turn: Deal 1 damage to all enemies.,Can't attack. CAN irradiate your opponent. Passive-aggressive machine.,
44,Mercenary Blade,3,4,2,Minion,,Common,SWIFT,SWIFT.,Paid to hit things immediately. Money well spent.,
45,Cosmic Guardian,4,3,5,Minion,,Common,GUARDIAN,GUARDIAN.,Guards the cosmos. One board at a time.,
46,Star Berserker,4,5,3,Minion,,Common,,"Whenever this takes damage, gain +2 Attack.",Hit it. I dare you. It gets ANGRIER.,
47,Supply Runner,4,3,3,Minion,,Common,DEPLOY,DEPLOY: Draw 2 cards.,Delivers supplies. The supplies are CARDS.,
48,Void Reaper,4,4,4,Minion,,Common,,,4/4 for 4. Sometimes simplicity is the ultimate sophistication.,
49,Starsteel Golem,4,3,5,Minion,Mech,Common,BARRIER,BARRIER.,Hard to kill the first time. Still hard the second time.,
50,Arena Champion,4,4,3,Minion,,Common,SWIFT,SWIFT.,Wins arenas. Immediately. That's the SWIFT advantage.,
51,Dusk Stalker,4,3,3,Minion,,Common,"CLOAK, DEPLOY",CLOAK. DEPLOY: Gain +2 Attack.,Hides. Grows. Strikes. The triple threat.,
52,Cosmic Medic,4,3,4,Minion,,Common,DEPLOY,DEPLOY: Restore 4 Health to your Hero.,House call. In space. Four Health restored.,
53,Raging Elemental,4,5,2,Minion,Elemental,Common,IMMOLATE,IMMOLATE: Deal 2 damage to all enemies.,Lives angry. Dies angrier.,
54,Terraformer,4,2,5,Minion,,Common,DEPLOY,DEPLOY: Gain 1 empty Crystal.,Builds worlds. Also builds your mana base.,
55,Bouncer Bot,4,3,4,Minion,Mech,Common,DEPLOY,DEPLOY: Return an enemy minion to your opponent's hand.,You're not on the list. BACK to hand.,
56,Pack Leader,4,3,3,Minion,Beast,Common,,Your other Beasts have +1 Attack.,The pack follows. The pack BITES.,
57,Void Moth,4,4,3,Minion,,Common,"SALVAGE, SWIFT",SALVAGE. SWIFT.,Hits fast. Dies soon. Draws a card. Circle of moth life.,
58,Orbital Striker,4,4,4,Minion,,Common,DEPLOY,DEPLOY: Deal 2 damage to a random enemy.,Drops from orbit. Hits something. Sticks around.,
59,Cosmic Enforcer,5,5,5,Minion,,Common,GUARDIAN,GUARDIAN.,The law of the cosmos. It's a 5/5 with GUARDIAN.,
60,Galactic Gladiator,5,5,4,Minion,,Common,SWIFT,SWIFT.,Enters the arena. Fights immediately. Crowd goes wild.,
61,Stardust Giant,5,4,6,Minion,Elemental,Common,,Costs (1) less for each card you've drawn this turn.,Draw cards. Get cheap giants. The Astromancer's best friend.,
62,Dragonhawk Rider,5,5,4,Minion,,Common,DOUBLE STRIKE,DOUBLE STRIKE.,Hits twice. Regrets nothing.,
63,Nebula Brute,5,6,4,Minion,,Common,,,Big stats. No abilities. Purist card design.,
64,Void Stalker Elite,5,4,5,Minion,,Common,CLOAK,CLOAK.,"A bigger, badder version of the 3-cost. Still invisible.",
65,Siege Breaker,5,5,5,Minion,,Common,DEPLOY,DEPLOY: Deal 3 damage to a random enemy minion.,Breaks sieges. Also breaks faces.,
66,Starfire Elementalist,5,4,4,Minion,Elemental,Common,DEPLOY,DEPLOY: Deal 3 damage to all enemy minions.,Walking board clear. With a body.,
67,Chrome Drake,5,5,5,Minion,Mech,Common,BARRIER,BARRIER.,Metal dragon. Shielded dragon. STILL a dragon.,
68,Primal Titan,5,5,5,Minion,,Common,ADAPT,ADAPT.,Five mana. Five/Five. Choose your bonus. Simple. Effective.,
69,Cosmic Surgeon,5,3,5,Minion,,Common,DEPLOY,DEPLOY: Restore a friendly minion to full Health. Give it +2/+2.,Heals and buffs. The best kind of doctor.,
70,Bombardment Drone,5,4,4,Minion,Mech,Common,,End of Turn: Deal 2 damage to a random enemy.,Air support. Every. Single. Turn.,
71,Thunder Lizard,5,4,5,Minion,Beast,Common,DEPLOY,"DEPLOY: Deal 2 damage. If the target dies, gain +3/+3.",Zaps prey. Eats prey. Gets ENORMOUS from prey.,
72,Astral Wanderer,5,3,6,Minion,,Common,DRAIN,DRAIN.,Walks slowly. Hits gently. Heals constantly. Immortal annoyance.,
73,Cosmic Dreadnought,6,6,6,Minion,,Common,,,Six. Six. Six. The number of the STATS.,
74,Galactic Warden,6,5,7,Minion,,Common,GUARDIAN,GUARDIAN.,Big wall. Big stats. Big problems for your opponent.,
75,Supernova Elemental,6,6,5,Minion,Elemental,Common,IMMOLATE,IMMOLATE: Deal 3 damage to all enemies.,Explodes spectacularly. As intended.,
76,Star Destroyer,6,7,4,Minion,,Common,SWIFT,SWIFT.,Big. Fast. Angry. In that order.,
77,Void Horror,6,5,5,Minion,,Common,DEPLOY,DEPLOY: Destroy a random enemy minion.,Picks a random victim. The victim has no say.,
78,Arcane Colossus,6,4,7,Minion,Elemental,Common,RESONATE,RESONATE: Gain +2/+2.,Cast spells. Watch it grow. Simple magic.,
79,Chrome Hydra,6,5,5,Minion,Mech,Common,DEPLOY,DEPLOY: Deal 2 damage to 3 random enemies.,Three heads. Three targets. Three problems.,
80,Forest Ancient,6,4,8,Minion,Beast,Common,"GUARDIAN, ADAPT",GUARDIAN. ADAPT.,Old. Tough. Adaptable. Your grandpa wishes.,
81,Shadow Matriarch,6,5,6,Minion,,Common,DEPLOY,DEPLOY: Summon two 2/2 Shadow Spawn.,Brings friends. They're not friendly.,
82,Starforged Knight,6,6,5,Minion,,Common,"BARRIER, SWIFT",BARRIER. SWIFT.,Shielded AND fast. The premium package.,
83,Gravity Well,6,3,6,Minion,,Common,GUARDIAN,GUARDIAN. Enemies cost (1) more to play.,Pulls everything in. Including your opponent's budget.,
84,Abyssal Lurker,6,6,5,Minion,,Common,DRAIN,DRAIN.,Hits for 6. Heals for 6. Every single turn.,
85,Cosmic Titan,7,7,7,Minion,,Common,,,Seven. Seven. Seven. Cosmic perfection.,
86,War Golem,7,7,7,Minion,,Common,GUARDIAN,GUARDIAN.,Big rock. Big wall. Big problem.,
87,Stellar Dragon,7,6,6,Minion,Beast,Common,"BARRIER, SWIFT",BARRIER. SWIFT.,Space dragon that hits first and tanks a hit. Premium beast.,
88,Annihilator Mech,7,7,5,Minion,Mech,Common,DEPLOY,DEPLOY: Deal 5 damage to an enemy minion.,Arrives. Annihilates. Announces nothing.,
89,Storm Giant,7,6,8,Minion,Elemental,Common,IMMOLATE,IMMOLATE: Deal 3 damage to all enemies.,Seven tons of weather. Bad weather.,
90,Cosmic Warlord,7,6,6,Minion,,Common,DEPLOY,DEPLOY: Give all friendly minions +2/+2.,Rallies the troops. The troops get HUGE.,
91,Voidcaller,7,5,7,Minion,,Common,DEPLOY,DEPLOY: Summon a random minion from your hand for free.,Calls to the void. The void sends reinforcements.,
92,Astral Behemoth,7,7,7,Minion,,Common,ADAPT,ADAPT.,Seven mana. 7/7. Plus whatever it evolves into. BEAST MODE.,
93,Ironclad Sentinel,7,5,9,Minion,Mech,Common,"GUARDIAN, BARRIER",GUARDIAN. BARRIER.,Two layers of defense. Nine health behind them. Good luck.,
94,Galactic Predator,7,8,5,Minion,Beast,Common,"SWIFT, LETHAL",SWIFT. LETHAL.,Fast. Venomous. Immediately lethal. Nature's final answer.,
95,Ancient Goliath,8,8,8,Minion,,Common,GUARDIAN,GUARDIAN.,Old as time. Big as space. Mean as a parking ticket.,
96,Cosmic Leviathan,8,8,8,Minion,,Common,DEPLOY,DEPLOY: Draw 3 cards.,Big body. Big draw. Big deal.,
97,Star Colossus,8,7,9,Minion,,Common,BARRIER,BARRIER. Can't be targeted by spells or Hero Powers.,Immune to tricks. Resistant to damage. Weak to nothing.,
98,Void Mammoth,8,8,7,Minion,Beast,Common,"SWIFT, GUARDIAN",SWIFT. GUARDIAN.,Charges in. Blocks everything. An 8-mana miracle.,
99,Mechanical Overlord,8,7,7,Minion,Mech,Common,DEPLOY,DEPLOY: Give all friendly Mechs +3/+3 and BARRIER.,The boss mech. All other mechs salute.,
100,Flame Titan,8,8,6,Minion,Elemental,Common,"IMMOLATE, BLITZ",BLITZ. IMMOLATE: Deal 4 damage to all enemies.,Charges in. Dies in glory. Takes everyone with it.,
101,Cosmic Destroyer,9,9,9,Minion,,Common,DEPLOY,DEPLOY: Destroy a random enemy minion.,Nine mana. Nine attack. Nine health. One dead enemy.,
102,Planet Eater,9,8,8,Minion,,Common,DEPLOY,DEPLOY: Deal 8 damage to all enemy minions.,Eats planets. Your minions are smaller than planets. Do the math.,
103,Arcane Overlord,9,7,9,Minion,Elemental,Common,DEPLOY,DEPLOY: Add 3 random spells to your hand. They cost (0).,Free spells? Three of them? From a 7/9? Yes please.,
104,Titan of War,9,9,7,Minion,,Common,"SWIFT, DOUBLE STRIKE",SWIFT. DOUBLE STRIKE.,Hits TWICE. IMMEDIATELY. Eighteen damage potential. On arrival.,
105,Cosmic Wyrm,10,10,10,Minion,,Common,"GUARDIAN, BARRIER",GUARDIAN. BARRIER.,The biggest wall in the galaxy. With a shield.,
106,Ultramech,10,10,8,Minion,Mech,Common,"BLITZ, BARRIER",BLITZ. BARRIER. DEPLOY: Deal 5 damage to all enemies.,Maximum mech. Maximum violence. Maximum EVERYTHING.,
107,World Breaker,10,8,8,Minion,,Common,DEPLOY,DEPLOY: Destroy ALL enemy minions.,Board clear on legs. Ten mana legs.,
108,Sea of Stars,10,7,12,Minion,Elemental,Common,GUARDIAN,GUARDIAN. LAST WORDS: Fill your board with 3/3 Star Elementals.,Dies and gives you seven 3/3s. The ultimate last laugh.,
109,Arena Scrapper,2,2,2,Minion,,Common,,DEPLOY: Deal 1 damage to a minion.,Small but scrappy. Emphasis on SCRAP.,
110,Cosmic Cadet,1,1,1,Minion,,Common,,DEPLOY: Gain +1/+1 if your Hero is at full Health.,Fresh-faced. Full-health dependent.,
111,Trade Hauler,3,2,4,Minion,Mech,Common,DEPLOY,DEPLOY: Give both players a random card.,Fair trader. Suspiciously fair.,
112,Mushroom Forager,2,2,3,Minion,,Common,DEPLOY,DEPLOY: Restore 2 Health to your Hero.,Found a mushroom. You feel better already.,
113,Comet Rider,4,5,3,Minion,,Common,BLITZ,BLITZ.,Rides a comet. Into your face.,
114,Void Screamer,3,4,2,Minion,,Common,,DEPLOY: Your opponent discards a random card.,Screams into the void. Your opponent loses a card.,
115,Ancient Watcher,2,4,5,Minion,,Common,,Can't attack.,Watches. Only watches. Very good at watching.,
116,Galactic Merchant,4,3,4,Minion,,Common,DEPLOY,DEPLOY: Discover a card from your opponent's class.,Sells secrets. Your opponent's secrets.,
117,Salvage Hulk,5,4,5,Minion,Mech,Common,SALVAGE,SALVAGE. GUARDIAN.,Big. Sturdy. Draws a card when it dies. Full package.,
118,Cosmic Healer,3,2,4,Minion,,Common,DEPLOY,DEPLOY: Restore 3 Health to all friendly characters.,Group heal. No appointment necessary.,
119,Phase Spider,4,4,3,Minion,Beast,Common,PHASE,PHASE.,Can't target it with spells. Can target you with FANGS.,
120,Starbound Sentinel,6,5,6,Minion,,Common,DEPLOY,DEPLOY: Give a friendly minion BARRIER and +2/+2.,Arrives. Buffs a friend. Great teammate.,
121,Coin of Fortune,0,,,Spell,,Common,,Gain 1 Crystal this turn only.,Heads you win. Tails you still win. It's free mana.,
122,Inner Strength,0,,,Spell,,Common,,Give a minion +1/+1.,Free buff. No strings. No cost. Just POWER.,
123,Spark,0,,,Spell,,Common,,Deal 1 damage.,One damage. Zero cost. Infinite annoyance.,
124,Quick Peek,0,,,Spell,,Common,,SCRY (2). Draw a card if the top card costs (2) or less.,Peek for free. Maybe draw for free too.,
125,Void Bolt,1,,,Spell,,Common,,Deal 2 damage.,Pew. Simple. Effective.,
126,Cosmic Shield,1,,,Spell,,Common,,Give a minion BARRIER.,One free hit absorbed. Just one. Make it count.,
127,Emergency Heal,1,,,Spell,,Common,,Restore 4 Health to your Hero.,Band-aid for the cosmos. Works in a pinch.,
128,Tactical Retreat,1,,,Spell,,Common,,Return a friendly minion to your hand. Draw a card.,Strategic withdrawal. With a bonus card.,
129,Galactic Flare,1,,,Spell,,Common,,Deal 1 damage to all enemy minions.,Mild inconvenience. Board-wide.,
130,Star Shard,1,,,Spell,,Common,,Deal 3 damage to a minion.,Three damage to one thing. Bread and butter.,
131,Starfire Bolt,2,,,Spell,,Common,,Deal 3 damage.,Three damage. Anywhere. Simple math.,
132,Fortify,2,,,Spell,,Common,,Give a minion +2/+4.,Two more attack. Four more health. All more win.,
133,Scavenge,2,,,Spell,,Common,,Draw 2 cards.,Dig through the deck. Find good stuff. Classic.,
134,Stasis Field,2,,,Spell,,Common,,Freeze an enemy minion. Draw a card.,Ice AND a card. Chilling efficiency.,
135,Cosmic Dust,2,,,Spell,,Common,,Deal 1 damage to all enemies.,Dust in the wind. DAMAGING dust.,
136,Power Surge,2,,,Spell,,Common,,Give a minion +3 Attack this turn.,Temporary rage. Permanent results.,
137,Void Lance,3,,,Spell,,Common,,Deal 4 damage.,Four damage. One target. Zero mercy.,
138,Cosmic Renewal,3,,,Spell,,Common,,Restore 8 Health to your Hero.,Deep breath. Full heal. Almost.,
139,Mass Shield,3,,,Spell,,Common,,Give all friendly minions +0/+2.,Everyone gets tougher. Group fitness program.,
140,Mind Control Shot,3,,,Spell,,Common,,"Deal 3 damage to a minion. If it survives, freeze it for 2 turns.",Zap it. Then freeze it. Double punishment.,
141,Salvage Run,3,,,Spell,,Common,,Draw 3 cards. Discard 1.,Take three. Return one. Net positive.,
142,Star Shatter,3,,,Spell,,Common,,Destroy a minion with 3 or less Attack.,Small enough to shatter? Shattered.,
143,Plasma Cannon,4,,,Spell,,Common,,Deal 5 damage.,Big gun. Big damage. Big satisfied.,
144,Board Sweep,4,,,Spell,,Common,,Deal 2 damage to all minions.,Clears the riffraff. Both sides suffer. One side planned for it.,
145,Cosmic Infusion,4,,,Spell,,Common,,Give a minion +4/+4 and GUARDIAN.,Now it's big. Now it's blocking. Now it's a PROBLEM.,
146,Supernova Burst,4,,,Spell,,Common,,Deal 3 damage to all enemy minions.,Everything on their side hurts. Everything on yours doesn't.,
147,Supply Drop,4,,,Spell,,Common,,Draw 3 cards.,Three cards. Four mana. Math checks out.,
148,Exile,4,,,Spell,,Common,BANISH,BANISH an enemy minion.,Not destroyed. ERASED. Big difference.,
149,Meteor Strike,5,,,Spell,,Common,,Deal 7 damage to a minion.,Space rock meets face. Face loses.,
150,Mass Resurrection,5,,,Spell,,Common,,Summon 2 random friendly minions that died this game.,They're back. From the dead. And they're NOT happy.,
151,Cosmic Storm,5,,,Spell,,Common,,Deal 3 damage to all enemies. Draw a card.,Storms AND card draw. Best weather ever.,
152,Warp Strike,5,,,Spell,,Common,,Deal 5 damage to 2 random enemy minions.,Two targets. Five damage each. Surgical chaos.,
153,Annihilation Beam,6,,,Spell,,Common,,Deal 8 damage.,Big beam. Big damage. Big problems for one specific thing.,
154,Cosmic Wrath,6,,,Spell,,Common,,Deal 4 damage to all enemies.,The cosmos is angry. FOUR damage angry.,
155,Soul Harvest,6,,,Spell,,Common,,Destroy all damaged minions. Draw a card for each.,"If it's hurt, it's dead. Also, free cards.",
156,Gravitational Collapse,7,,,Spell,,Common,,Destroy all minions.,Everyone dies. Start over. Classic reset button.,
157,Stellar Bombardment,7,,,Spell,,Common,,Deal 5 damage to all enemies. Deal 2 damage to all friendly minions.,Mostly hurts them. Slightly hurts you. Worth it.,
158,Galaxy Collapse,8,,,Spell,,Common,,Destroy all minions. Deal 5 damage to both Heroes.,Nobody wins. Except whoever has more Health.,
159,Star Forge Blast,9,,,Spell,,Common,,Deal 10 damage. Draw 2 cards.,Ten damage. Two cards. Nine mana. Premium destruction.,
160,Final Nova,10,,,Spell,,Common,,Deal 10 damage to all enemies. Restore 10 Health to your Hero.,The FINAL word. Ten damage out. Ten health in.,
