ID,Name,Cost,Type,Race,Rarity,Attack,Health,Tribe,Keywords,Card Text,Flavor Text,Collectible,Set,Has Starforge,Starforge Text
cog_m26,Mech Fabricator,7,MINION,COGSMITHS,RARE,4,8,MECH,DEPLOY; LAST_WORDS,DEPLOY: Fill your hand with 1/1 Spark-Bots that cost (0). They have LAST WORDS: Deal 1 damage to a random enemy.,Loading... loading... ARMING... arming... Done! Your hand is now a minefield! You\,true,CORE,NO,
cog_m27,Ironclad Behemoth,7,MINION,COGSMITHS,RARE,7,7,MECH,GUARDIAN; BARRIER,GUARDIAN. BARRIER.,The immovable object. Also rigged to explode if you make eye contact.,true,CORE,NO,
cog_m28,Goblin Sapper Squad,3,MINION,COGSMITHS,RARE,1,1,,LAST_WORDS; DEPLOY,DEPLOY: Summon two 1/1 Goblin Sappers with LAST WORDS: Deal 2 damage to a random enemy. LAST WORDS: Deal 2 damage to a random enemy.,Three gnomes. Six sticks of dynamite. Zero plan.,true,CORE,NO,
cog_s16,Retrofit,2,SPELL,COGSMITHS,RARE,,,,LAST_WORDS,Give a friendly Mech +0/+3 and LAST WORDS: Deal damage equal to this minion\,"New armor, new purpose, new blast radius.",true,CORE,NO,
cog_st4,Cosmic Junkyard,4,STRUCTURE,COGSMITHS,RARE,,,,LAST_WORDS,"Whenever a friendly Mech dies, summon a 1/1 Spark-Bot with LAST WORDS: Deal 1 damage to a random enemy.",Nothing goes to waste. Everything goes to BOOM.,true,CORE,NO,
cog_s17,Aftershock Plating,3,SPELL,COGSMITHS,RARE,,,,,Give a friendly Mech +2/+2. Its LAST WORDS trigger an additional time.,Built-in redundancy. The explosion has a backup explosion.,true,CORE,NO,
cog_m29,Orbital Bombardier,5,MINION,COGSMITHS,RARE,4,4,MECH,DEPLOY; LAST_WORDS,DEPLOY: Deal 2 damage to a random enemy. LAST WORDS: Deal 3 damage to two random enemies.,"Arrives loud. Leaves louder. The neighbors have filed 7,000 complaints.",true,CORE,NO,
cog_m30,NITROGLYCOGNOME,2,MINION,COGSMITHS,EPIC,1,1,,LAST_WORDS,LAST WORDS: Deal 5 damage to a random enemy and 2 damage to your hero.,He\,true,CORE,NO,
cog_st5,ASTRAL ANVIL,4,STRUCTURE,COGSMITHS,EPIC,,,,,Your Mechs have +1/+1 and their LAST WORDS deal double damage.,Forged from a dying star by a gnome who asked \,true,CORE,NO,
cog_s18,DOOMSDAY PROTOCOL,6,SPELL,COGSMITHS,EPIC,,,,,Destroy all friendly Mechs. Trigger each of their LAST WORDS three times.,In case of emergency: CAUSE BIGGER EMERGENCIES. In case of bigger emergencies: see page 1.,true,CORE,NO,
cog_m31,COSMIC REASSEMBLER,5,MINION,COGSMITHS,EPIC,3,5,MECH,LAST_WORDS,LAST WORDS: Resummon this minion with -1/-1. (Minimum 1/1. Retains LAST WORDS.),You can\,true,CORE,NO,
cog_st6,CLUSTER BOMB ARRAY,3,STRUCTURE,COGSMITHS,EPIC,,,,,"Whenever a friendly Mech dies, deal 3 damage split randomly among all enemies.","For every action, there is an equal and opposite explosion. This is not Newton\",true,CORE,NO,
cog_m32,GNOMECHANIC PRIME,6,MINION,COGSMITHS,LEGENDARY,4,5,MECH,LAST_WORDS,STARFORGE -- After 6 friendly LAST WORDS trigger: Transform into GNOMECHANIC OMEGA -- 8/10. ALL friendly LAST WORDS trigger THREE times. LAST WORDS: Deal 10 damage to ALL enemies.,Chief Engineer. Chief Demolitionist. She doesn\,true,CORE,YES,
cog_m33,THE INFINITY COIL,8,MINION,COGSMITHS,LEGENDARY,0,8,MECH,LAST_WORDS,STARFORGED -- enhanced. Gains enhanced abilities and BARRIER.,Infinite bots. Infinite explosions. Infinite fun. The gnomish definition of \,true,CORE,YES,
cog_m34,CONSTRUCTOR SUPREME,9,MINION,COGSMITHS,LEGENDARY,7,7,,DEPLOY; LAST_WORDS,STARFORGED -- 11/11. Gains enhanced abilities and BARRIER.,She doesn\,true,CORE,YES,
cog_m35,ADMIRAL BOOMSWORTH III,5,MINION,COGSMITHS,LEGENDARY,3,4,,DEPLOY; LAST_WORDS,STARFORGED -- 7/8. Gains enhanced abilities and BARRIER.,His middle name is literally \,true,CORE,YES,
cog_m36,THE GRAND DETONATOR,10,MINION,COGSMITHS,LEGENDARY,8,8,MECH,BLITZ; LAST_WORDS,STARFORGED -- 12/12. Gains enhanced abilities and BARRIER.,The gnomes\,true,CORE,YES,
lum_m1,Luminar Acolyte,1,MINION,LUMINAR,COMMON,1,3,,ILLUMINATE,ILLUMINATE: Gain +1 Attack.,Prays for strength. Gets it. Immediately. Luminar customer service is INSTANT. Zero wait time. Infinite light.,true,CORE,NO,
lum_m2,Sunbeam Sprite,1,MINION,LUMINAR,COMMON,1,2,ELEMENTAL,ILLUMINATE,ILLUMINATE: Draw a card.,It\,true,CORE,NO,
lum_m3,Glowing Moth,1,MINION,LUMINAR,COMMON,1,1,ELEMENTAL,BARRIER; ILLUMINATE,BARRIER. ILLUMINATE: Gain +2/+2.,Drawn to the light. IS the light. Heal once and it\,true,CORE,NO,
lum_s1,Luminar Blessing,1,SPELL,LUMINAR,COMMON,,,,,Give a minion +1/+2. Restore 1 Health to your Hero.,"A tiny prayer. A tiny heal. But the heal triggers ILLUMINATE across your ENTIRE board. Tiny prayer, ENORMOUS consequences.",true,CORE,NO,
lum_s2,Radiant Shield,1,SPELL,LUMINAR,COMMON,,,,BARRIER,Give a minion +0/+3 and BARRIER. Restore 1 Health to your Hero.,Shield up. Health up. ILLUMINATE fires everywhere. One mana does three jobs. Luminar efficiency at its finest.,true,CORE,NO,
lum_m4,Dawn Priest,2,MINION,LUMINAR,COMMON,2,3,,DEPLOY,DEPLOY: Restore 3 Health to your Hero.,Rise and shine! Three health restored. Every ILLUMINATE on your board triggers. She\,true,CORE,NO,
lum_m5,Luminar Cleric,2,MINION,LUMINAR,COMMON,2,2,,DEPLOY,DEPLOY: Restore 2 Health to all friendly minions.,"Group therapy, Luminar style. Heals everyone. Triggers every ILLUMINATE on the board simultaneously. She\",true,CORE,NO,
lum_m6,Pilgrim of Light,2,MINION,LUMINAR,COMMON,1,4,,,"Whenever your Hero is healed, gain +1/+1.","Every heal makes him bigger. Permanently. Drop him Turn 2, heal three times, he\",true,CORE,NO,
lum_s3,Sanctify,2,SPELL,LUMINAR,COMMON,,,,,Restore 3 Health to a minion. Give it +1/+1.,"Blessed AND buff. The Luminar workout plan: pray, heal, get jacked. Repeat until enormous.",true,CORE,NO,
lum_s4,Blessed Arrow,2,SPELL,LUMINAR,COMMON,,,,,"Deal 2 damage. If your Hero is at full Health, deal 4 instead.",The Luminar reward for staying healthy: hitting TWICE as hard. Full health isn\,true,CORE,NO,
lum_m7,Lightsworn Guardian,3,MINION,LUMINAR,COMMON,2,5,,GUARDIAN; ILLUMINATE,GUARDIAN. ILLUMINATE: Gain +1/+1.,Every heal pumps him. By Turn 6 he\,true,CORE,NO,
lum_m8,Penitent Monk,3,MINION,LUMINAR,COMMON,3,3,,DRAIN,DRAIN. (Heals your Hero for damage dealt.),He punches you AND feels better about it. Three damage dealt. Three health restored. ILLUMINATE triggers. Violence IS self-care.,true,CORE,NO,
lum_m9,Beacon of Hope,3,MINION,LUMINAR,COMMON,2,4,,,End of Turn: Restore 2 Health to your Hero. Trigger all friendly ILLUMINATE effects.,Always on. Never dims. GUARANTEED ILLUMINATE every single turn. The beacon doesn\,true,CORE,NO,
lum_s5,Purifying Light,3,SPELL,LUMINAR,COMMON,,,,,Restore 4 Health to your Hero. Draw a card.,Cleanses the body. Enlightens the mind. Four health AND a card. Plus every ILLUMINATE on your board fires. Sunrise in a bottle.,true,CORE,NO,
lum_s6,Sunforged Blade,3,SPELL,LUMINAR,COMMON,,,,DRAIN,Give a minion +3 Attack and DRAIN this turn.,Forged in starfire. The DRAIN heals you. The heal triggers ILLUMINATE. One buff cascades into EVERYTHING.,true,CORE,NO,
lum_m10,Halo Sentinel,3,MINION,LUMINAR,COMMON,3,5,,BARRIER,BARRIER.,The halo isn\,true,CORE,NO,
lum_m11,Daybreak Charger,4,MINION,LUMINAR,COMMON,4,3,,SWIFT; ILLUMINATE,SWIFT. ILLUMINATE: Gain +1 Health and DRAIN.,Charges at dawn. Noon. Dusk. Whenever. SWIFT lets it hit immediately. ILLUMINATE gives DRAIN. So hitting HEALS you. So the cycle NEVER stops.,true,CORE,NO,
lum_m12,Radiance Weaver,4,MINION,LUMINAR,COMMON,3,4,,,"After you cast a healing spell, summon a 2/2 Light Elemental with ILLUMINATE: Gain +1/+1.",Knits soldiers out of sunlight. Every healing spell spawns a minion. Every minion has ILLUMINATE. The army builds ITSELF.,true,CORE,NO,
lum_s7,Solar Flare,4,SPELL,LUMINAR,COMMON,,,,,Deal 3 damage to all enemy minions. Restore 1 Health to your Hero.,"SPF 10,000 recommended. AoE AND a heal. The heal triggers ILLUMINATE. Burning enemies and buffing allies in ONE card.",true,CORE,NO,
lum_s8,Blinding Burst,4,SPELL,LUMINAR,COMMON,,,,,Deal 2 damage to all enemies. Restore 2 Health to your Hero.,Flash photography is strictly mandatory. Two to everything they have. Two health back for you. All ILLUMINATE effects fire.,true,CORE,NO,
lum_m13,Cathedral Guard,5,MINION,LUMINAR,COMMON,4,6,,GUARDIAN; DRAIN,GUARDIAN. DRAIN.,No entry. No exceptions. DRAIN means every attack heals you. Heals trigger ILLUMINATE. The guard NEVER stops generating value.,true,CORE,NO,
lum_m14,Luminar Templar,5,MINION,LUMINAR,COMMON,5,5,,ILLUMINATE; GUARDIAN,ILLUMINATE: Gain GUARDIAN and +0/+3.,One heal: 5/8 GUARDIAN. Two heals: 5/11 GUARDIAN. The light is his armor AND his growth hormone. Luminar templars only get THICKER.,true,CORE,NO,
lum_s9,Consecrate,5,SPELL,LUMINAR,COMMON,,,,,Restore 5 Health to your Hero. Give all friendly minions +1/+1.,Everything is blessed now. Five health back. Board-wide buff. Every ILLUMINATE fires. The Luminar don\,true,CORE,NO,
lum_m15,Martyr\,5,MINION,LUMINAR,COMMON,3,6,,LAST_WORDS,LAST WORDS: Restore 5 Health to your Hero and trigger all friendly ILLUMINATE effects twice.,Her sacrifice is your salvation. Kill her and your hero heals AND every crystal on board lights up TWICE. Death is just her final sermon.,true,CORE,NO,
lum_m16,Luminar Crusader,6,MINION,LUMINAR,COMMON,6,6,,BARRIER; ILLUMINATE,BARRIER. ILLUMINATE: Gain +2/+2.,FOR THE LIGHT! And also cardio. A 6/6 with BARRIER that grows +2/+2 per heal. After two heals it\,true,CORE,NO,
lum_s10,Holy Nova,6,SPELL,LUMINAR,COMMON,,,,,Deal 3 damage to all enemies. Restore 3 Health to all friendly characters.,BOOM. But a HOLY boom. Three to everything they have. Three back to everything YOU have. All ILLUMINATE triggers fire. Sacred symmetry.,true,CORE,NO,
lum_m17,Sunlit Protector,7,MINION,LUMINAR,COMMON,6,7,,GUARDIAN; BARRIER; ILLUMINATE,GUARDIAN. BARRIER. ILLUMINATE: Gain DOUBLE STRIKE.,Stands in the light. IS the light. One heal gives DOUBLE STRIKE. A 6/7 GUARDIAN BARRIER DOUBLE STRIKE is called \,true,CORE,NO,
lum_s11,Dawn\,7,SPELL,LUMINAR,COMMON,,,,,Fully restore your Hero\,A sunrise so powerful it heals EVERYTHING. Full health. Double ILLUMINATE across your entire board. The ultimate Luminar reset button.,true,CORE,NO,
lum_m18,Luminous Wisp,1,MINION,LUMINAR,COMMON,0,2,ELEMENTAL,,End of Turn: Restore 1 Health to your Hero.,Smol. Bright. Useful. Free heal every turn means free ILLUMINATE trigger every turn. The 0/2 that powers your entire engine.,true,CORE,NO,
lum_st1,Hallowed Ground,3,STRUCTURE,LUMINAR,COMMON,,,,,Your healing effects restore 2 additional Health. ILLUMINATE effects trigger an additional time.,Even the ground is holy. Every heal is bigger. Every ILLUMINATE fires twice. The Luminar sanctified the FLOOR.,true,CORE,NO,
lum_m19,High Priestess of Light,4,MINION,LUMINAR,RARE,3,5,,,"Whenever you heal a character, give a random friendly minion +1/+1. If you healed to FULL, give +2/+2 instead.",She speaks for the light. The light says BUFF. Full-health heals get DOUBLE buffs. The Luminar reward you for being healthy AND staying healthy.,true,CORE,NO,
lum_s12,Divine Intervention,5,SPELL,LUMINAR,RARE,,,,BARRIER; GUARDIAN,Fully restore a minion\,The light provides. And provides. Your wounded 3/1 is now a 5/full-health BARRIER GUARDIAN. Miraculous? That\,true,CORE,NO,
lum_m20,Radiant Aegis,3,MINION,LUMINAR,RARE,2,6,,GUARDIAN; ILLUMINATE,GUARDIAN. ILLUMINATE: Gain BARRIER.,Every heal refreshes the shield. Kill BARRIER? Heal. It\,true,CORE,NO,
lum_s13,Luminar Judgment,7,SPELL,LUMINAR,RARE,,,,,Deal damage to all enemies equal to the total Health you\,The Luminar remember every kindness. And repay it VIOLENTLY. Healed 12 health across the game? TWELVE to the face of everything. The light keeps receipts.,true,CORE,NO,
lum_m21,Lightbringer,5,MINION,LUMINAR,RARE,4,4,,,"Your healing spells cost (1) less. Whenever you cast a healing spell, restore 2 Health to your Hero.",Discount divinity. Every heal spell is cheaper AND heals your hero as a bonus. She makes the Luminar engine run FASTER.,true,CORE,NO,
lum_st2,Chalice of Renewal,4,STRUCTURE,LUMINAR,RARE,,,,,Start of Turn: Restore 3 Health to your Hero and trigger all friendly ILLUMINATE effects.,Sip. Heal. Trigger everything. Every turn. Automatically. The holy happy hour never ends. The Luminar\,true,CORE,NO,
lum_m22,Empyreal Knight,6,MINION,LUMINAR,RARE,5,6,,BARRIER; DEPLOY,BARRIER. DEPLOY: Restore 3 Health to all friendly characters. Give each healed minion +1/+1.,Arrives in style. Heals on impact. Every minion healed gets +1/+1. Board-wide heal AND buff in one shiny Luminar package.,true,CORE,NO,
lum_s14,Absolution,3,SPELL,LUMINAR,RARE,,,,,Destroy a minion with 3 or less Attack. Restore Health equal to its Health to your Hero.,"Forgiven. Then deleted. A 2/5 dies, you heal 5. ILLUMINATE fires. Luminar removal that fuels your ENTIRE strategy.",true,CORE,NO,
lum_m23,Sunfire Phoenix,5,MINION,LUMINAR,RARE,4,4,ELEMENTAL,DRAIN; LAST_WORDS,DRAIN. LAST WORDS: Restore 4 Health to your Hero and summon a 2/2 Sunfire Hatchling with DRAIN.,Burns bright. Dies bright. Heals bright. The hatchling continues the work. Luminar birds don\,true,CORE,NO,
lum_m24,Celestial Choir,6,MINION,LUMINAR,RARE,3,3,,DEPLOY,DEPLOY: Summon two 2/2 Light Elementals with ILLUMINATE: Gain +1/+1. Restore 3 Health to your Hero.,Three-part harmony. Four-part destruction. Three bodies enter. All ILLUMINATE fires. The choir sings and the board GLOWS.,true,CORE,NO,
lum_s15,Resurrect,7,SPELL,LUMINAR,RARE,,,,BARRIER,Summon a random friendly minion that died this game. Restore it to full Health. Give it BARRIER.,Back from the dead. VERY well-rested. Full health. BARRIER. The Luminar don\,true,CORE,NO,
lum_m25,Beacon of Judgment,6,MINION,LUMINAR,RARE,4,7,,GUARDIAN,"GUARDIAN. Whenever this minion is healed, deal 2 damage to a random enemy.",Heal me and watch them BURN. Every point of healing = 2 damage to their board. A GUARDIAN that weaponizes health. The Luminar\,true,CORE,NO,
lum_m26,Luminar Paladin,4,MINION,LUMINAR,RARE,3,4,,BARRIER; SWIFT,BARRIER. SWIFT.,"Fast, shiny, ready to rumble. BARRIER eats the retaliation. SWIFT means it already HIT. Luminar justice doesn\",true,CORE,NO,
lum_st3,Eternal Flame,3,STRUCTURE,LUMINAR,RARE,1,1,,,"Whenever a friendly minion with ILLUMINATE dies, summon a 2/2 Light Elemental with ILLUMINATE: Gain +1/+1.",The light never truly goes out. Kill an ILLUMINATE minion? Another spawns. With ILLUMINATE. Kill THAT? Another. The Luminar PERSIST.,true,CORE,NO,
lum_s16,Overheal,4,SPELL,LUMINAR,RARE,,,,,"Restore 5 Health to your Hero. If already at full Health, deal 5 damage to a random enemy instead.",Full health? The overflow becomes WRATH. The light has nowhere to go but INTO YOUR OPPONENT\,true,CORE,NO,
lum_m27,Wrathguard Templar,5,MINION,LUMINAR,RARE,4,5,,ILLUMINATE,ILLUMINATE: Deal 2 damage to a random enemy.,Every heal hurts someone. ILLUMINATE doesn\,true,CORE,NO,
lum_s17,Mending Tide,3,SPELL,LUMINAR,RARE,,,,,"Restore 2 Health to all friendly characters. If you have 3+ minions, draw 2 cards.",Board-wide heal. Wide board? Two bonus cards. ILLUMINATE fires across everything. The tide lifts ALL Luminar ships.,true,CORE,NO,
lum_m28,Solar Lancer,4,MINION,LUMINAR,RARE,4,3,,SWIFT; DRAIN,SWIFT. DRAIN.,Hits fast. Heals on impact. DRAIN feeds your Hero. The heal triggers ILLUMINATE. Solar Lancer doesn\,true,CORE,NO,
lum_s18,Righteous Fury,5,SPELL,LUMINAR,RARE,,,,DRAIN,"Give a minion +4/+4 and DRAIN. If your Hero is at full Health, also give it DOUBLE STRIKE.",Massive buff + DRAIN. Full health? DOUBLE STRIKE. The Luminar at full health are TERRIFYING. This is why.,true,CORE,NO,
lum_m29,Blessed Martyr,3,MINION,LUMINAR,RARE,2,4,,LAST_WORDS,LAST WORDS: Give all friendly minions +2/+2 and restore 3 Health to your Hero.,Dies for the cause. The cause gets +2/+2 everywhere AND a heal. Luminar martyrdom: everybody else\,true,CORE,NO,
lum_s19,WRATH OF THE LUMINAR,3,SPELL,LUMINAR,EPIC,,,,,Deal 1 damage to all enemies for each time you\,Every heal you\,true,CORE,NO,
lum_m30,RADIANT FORTRESS,6,MINION,LUMINAR,EPIC,4,10,,GUARDIAN; ILLUMINATE,GUARDIAN. Your Hero can\,A 4/10 GUARDIAN with a divine damage cap. Your hero takes max 3 per hit. Every heal grows the wall THICKER. After two heals it\,true,CORE,NO,
lum_s20,SAINT\,4,SPELL,LUMINAR,EPIC,,,,,Destroy a friendly minion. Deal damage to all enemies equal to its Health. Restore that much Health to your Hero.,Kill your own 3/8. Eight damage to everything. Eight health restored. ILLUMINATE fires everywhere. One sacrifice. Total board wipe. Full heal. The holiest nuke the Luminar ever built. They built it on PURPOSE.,true,CORE,NO,
