#,Card Name,Cost,Atk,HP,Type,Subtype,Rarity,Keywords,Card Text,Flavor Text,STARFORGE
14,Astral Archive,3,,,Spell,,Common,,Draw 3 cards. Put 1 card from your hand on top of your deck.,Take three. Return one. Net gain: pure knowledge.,
15,Cosmic Resonance,3,,,Spell,,Common,,SCRY (4). Draw 2 cards.,Arrange FOUR cards then draw TWO? The future is YOURS.,
16,Starfall Sentinel,3,3,2,Minion,,Common,"SWIFT, SCRY (1)",SWIFT. SCRY (1).,Hits fast. Peeks faster.,
17,Fate Weaver,4,3,5,Minion,,Common,DEPLOY,DEPLOY: SCRY (3). Draw the top card. It costs (2) less this turn.,Sees your best card. Pulls it out. Discounts it. Hero.,
18,Celestial Observer,4,4,3,Minion,,Common,,"Whenever you draw a card, deal 1 damage to a random enemy.",Watching hurts. Being watched by THIS hurts MORE.,
19,Star Storm,4,,,Spell,,Common,,Deal 4 damage. SCRY (3).,Four damage now. Perfect setup for later.,
20,Divination,4,,,Spell,,Common,,Look at the top 5 cards of your deck. Draw 2 of them. Put the rest back in any order.,Choose your destiny. From five options. At a discount.,
21,Astral Titan,5,5,5,Minion,,Common,"SCRY (3), DEPLOY",SCRY (3). DEPLOY: Draw the top 2 cards of your deck.,Arranges three. Draws two. The math checks out gloriously.,
22,Cosmic Bombardment,5,,,Spell,,Common,,Deal 2 damage to all enemies. Draw a card for each enemy minion damaged.,Hurts them. Rewards you. The cosmic way.,
23,Void Telescope,5,3,4,Minion,,Common,DEPLOY,DEPLOY: Look at your opponent's hand. SCRY (5).,Sees their cards. Arranges yours. Checkmate in 5 turns.,
24,Knowledge is Power,5,,,Spell,,Common,,Draw cards until you have 8 in hand.,Hand empty? Not anymore. Hand full? Even fuller.,
25,Galaxy Drifter,6,6,6,Minion,,Common,DEPLOY,DEPLOY: Draw 3 cards. SCRY (3).,Three cards drawn. Three cards arranged. Six reasons to panic.,
26,Starfire,6,,,Spell,,Common,,Deal damage equal to the number of cards in your hand.,Full hand? Full damage. Keep drawing.,
27,Celestial Arbiter,7,7,7,Minion,,Common,DEPLOY,DEPLOY: Draw 2 cards. Your cards cost (1) less until end of turn.,Draws AND discounts. The oracle of savings.,
28,Cosmic Alignment,7,,,Spell,,Common,,SCRY (10). Draw 3 cards. They cost (3) less.,See the ENTIRE future. Pick the best parts. Discount them.,
29,Astral Familiar,2,1,2,Minion,,Common,LAST WORDS,"Whenever you SCRY, gain +1/+1. LAST WORDS: SCRY (3).",Gets bigger every time you peek. Leaves one final prophecy behind.,
30,Observatory,3,,,Structure,,Common,,Start of Turn: SCRY (2).,Free future-peeking. Every. Single. Turn.,
31,Fated Draw,2,,,Spell,,Rare,,"SCRY (5). Draw the top card. If it's a Legendary, it costs (0).","Arrange five. Draw one. If you're VERY lucky, it's free.",
32,Oracle of Celestara,4,3,5,Minion,,Rare,,"Whenever you SCRY, draw a card.",Every peek at the future comes with a present. Get it?,
33,Cosmic Librarian,3,2,4,Minion,,Rare,,Your card draw effects draw 1 additional card.,Overdue fees: zero. Bonus cards: UNLIMITED.,
34,Stellar Nexus,4,,,Structure,,Rare,,"Whenever you draw a card, SCRY (1). Cards drawn by SCRY effects cost (1) less.",Draw triggers SCRY. SCRY draws cards. It's a BEAUTIFUL loop.,
35,Constellation Strike,5,,,Spell,,Rare,,Deal 1 damage to a random enemy for each card you've drawn this turn. SCRY (3).,Drew seven cards? That's seven damage. Knowledge IS power.,
36,Mind Palace,5,,,Spell,,Rare,,Draw 4 cards. Put 2 back on top of your deck in any order.,Take four. Return two. Net gain: perfect setup AND two cards.,
37,Galactic Sage,5,4,4,Minion,,Rare,DEPLOY,DEPLOY: SCRY (5). You may play the top card of your deck for free.,Peeks at five. Plays one. Doesn't pay. Living the dream.,
38,Fatespinner,3,2,3,Minion,,Rare,,"Whenever you draw a card, add a random Astromancer spell to your hand. It costs (1).",Draws make spells. Spells make more draws. She LOVES it.,
39,Cosmic Overflow,6,,,Spell,,Rare,,"Draw 5 cards. For each card drawn that exceeds your hand limit, deal 3 damage to the enemy Hero.",Hand full? Overflow becomes DAMAGE. Win-win.,
40,Dimensional Echo,4,,,Spell,,Rare,,The next card you draw this turn is copied 3 times.,Draw one card. Get four copies. Deck manipulation meets GREED.,
41,Star Architect,6,5,5,Minion,,Rare,,DEPLOY: Rearrange the top 8 cards of your deck. Draw 2.,Doesn't just see the future. BUILDS it.,
42,Nebula Collapse,5,,,Spell,,Rare,,Destroy an enemy minion. Draw cards equal to its Attack. (Max 5.),Kill it. Learn from it. Draw EVERYTHING from it.,
43,Stellar Beacon,4,3,4,Minion,,Rare,"BARRIER, DEPLOY",BARRIER. DEPLOY: SCRY (4). Put any number of them on the bottom of your deck.,Finds the good stuff. Buries the trash.,
44,Cosmic Cascade,6,,,Spell,,Rare,,"Draw a card. If it costs (3) or less, cast this again. (Repeatable.)",Draw. Cheap card? Draw AGAIN. Keeps going until you hit a big one.,
45,Astral Sanctum,5,,,Structure,,Rare,,Your SCRY effects look at 2 additional cards. Cards you draw cost (1) less.,See further. Pay less. The Astromancer way.,
46,CELESTIAL ORACLE,8,6,8,Minion,,Epic,"DEPLOY, SCRY (5)","DEPLOY: SCRY (5). Whenever you draw a card, play the top card of your deck for free if it costs (4) or less.",Sees everything. Plays everything. Pays for NOTHING.,"STARFORGE — After drawing 30 cards: Transform into ORACLE SUPREME — 10/12. Whenever you draw a card, play the top card of your deck for free regardless of cost. SCRY (3) at start of each turn."
47,Starfall Cataclysm,9,,,Spell,,Epic,,Deal 15 damage split randomly among all enemies. Draw 5 cards. SCRY (5).,Fifteen damage. Five cards. Five peeks. One CATACLYSM.,
48,Architect of Fate,7,4,6,Minion,,Epic,DEPLOY,DEPLOY: Look at both decks. Rearrange the top 5 cards of each in any order. Draw 3 cards.,Arranges YOUR future AND their doom. Simultaneously.,
49,ORACLE STELLARA,9,7,7,Minion,,Legendary,DEPLOY,"DEPLOY: For the rest of the game, draw 2 cards per turn instead of 1. Your SCRY effects look at 3 additional cards. Whenever you draw a card, it costs (1) less.",She doesn't predict the future. She SUBSCRIBES to it.,"STARFORGE — After SCRYing 40 total cards: Transform into STELLARA, ALL-SEEING — 10/10. Draw 3 cards per turn. Whenever you draw a card, play it immediately if it costs (3) or less. SCRY (10) at start of turn. Your hand has no maximum size."
50,THE BOOK OF INFINITY,8,0,12,Minion,,Legendary,,"Can't attack. Start of Turn: SCRY (5). Draw 3 cards. End of Turn: If you drew 5+ cards this turn, cast a random spell from your deck for free.",It contains every card ever printed. And it's READING them.,
