id,name,faction,type,tribe,rarity,cost,attack,health,keywords,cardText,flavorText,collectible,set,artPrompt
lum_st2,Chalice of Renewal,Luminar,Structure,,Rare,4,,,,Start of Turn: Restore 3 Health to your Hero and trigger all friendly ILLUMINATE effects.,Sip. Heal. Trigger everything. Every turn. Automatically. The holy happy hour never ends. The Luminar's favorite artifact.,True,CORE,
lum_m22,Empyreal Knight,Luminar,Minion,,Rare,6,5,6,"BARRIER, DEPLOY",BARRIER. DEPLOY: Restore 3 Health to all friendly characters. Give each healed minion +1/+1.,Arrives in style. Heals on impact. Every minion healed gets +1/+1. Board-wide heal AND buff in one shiny Luminar package.,True,CORE,
lum_s14,Absolution,Luminar,Spell,,Rare,3,,,,Destroy a minion with 3 or less Attack. Restore Health equal to its Health to your Hero.,"Forgiven. Then deleted. A 2/5 dies, you heal 5. ILLUMINATE fires. Luminar removal that fuels your ENTIRE strategy.",True,CORE,
lum_m23,Sunfire Phoenix,Luminar,Minion,Elemental,Rare,5,4,4,"DRAIN, LAST WORDS",DRAIN. LAST WORDS: Restore 4 Health to your Hero and summon a 2/2 Sunfire Hatchling with DRAIN.,Burns bright. Dies bright. Heals bright. The hatchling continues the work. Luminar birds don't stay dead. They just get SMALLER and angrier.,True,CORE,
lum_m24,Celestial Choir,Luminar,Minion,,Rare,6,3,3,DEPLOY,DEPLOY: Summon two 2/2 Light Elementals with ILLUMINATE: Gain +1/+1. Restore 3 Health to your Hero.,Three-part harmony. Four-part destruction. Three bodies enter. All ILLUMINATE fires. The choir sings and the board GLOWS.,True,CORE,
lum_s15,Resurrect,Luminar,Spell,,Rare,7,,,,Summon a random friendly minion that died this game. Restore it to full Health. Give it BARRIER.,Back from the dead. VERY well-rested. Full health. BARRIER. The Luminar don't accept death. They file an APPEAL.,True,CORE,
lum_m25,Beacon of Judgment,Luminar,Minion,,Rare,6,4,7,GUARDIAN,"GUARDIAN. Whenever this minion is healed, deal 2 damage to a random enemy.",Heal me and watch them BURN. Every point of healing = 2 damage to their board. A GUARDIAN that weaponizes health. The Luminar's angriest priest.,True,CORE,
lum_m26,Luminar Paladin,Luminar,Minion,,Rare,4,3,4,"BARRIER, SWIFT",BARRIER. SWIFT.,"Fast, shiny, ready to rumble. BARRIER eats the retaliation. SWIFT means it already HIT. Luminar justice doesn't wait.",True,CORE,
lum_st3,Eternal Flame,Luminar,Structure,,Rare,3,,,,"Whenever a friendly minion with ILLUMINATE dies, summon a 2/2 Light Elemental with ILLUMINATE: Gain +1/+1.",The light never truly goes out. Kill an ILLUMINATE minion? Another spawns. With ILLUMINATE. Kill THAT? Another. The Luminar PERSIST.,True,CORE,
lum_s16,Overheal,Luminar,Spell,,Rare,4,,,,"Restore 5 Health to your Hero. If already at full Health, deal 5 damage to a random enemy instead.",Full health? The overflow becomes WRATH. The light has nowhere to go but INTO YOUR OPPONENT'S FACE. The Luminar's secret weapon.,True,CORE,
lum_m27,Wrathguard Templar,Luminar,Minion,,Rare,5,4,5,ILLUMINATE,ILLUMINATE: Deal 2 damage to a random enemy.,Every heal hurts someone. ILLUMINATE doesn't just buff — it FIRES. The Luminar's answer to 'isn't healing passive?' NO.,True,CORE,
lum_s17,Mending Tide,Luminar,Spell,,Rare,3,,,,"Restore 2 Health to all friendly characters. If you have 3+ minions, draw 2 cards.",Board-wide heal. Wide board? Two bonus cards. ILLUMINATE fires across everything. The tide lifts ALL Luminar ships.,True,CORE,
lum_m28,Solar Lancer,Luminar,Minion,,Rare,4,4,3,"SWIFT, DRAIN",SWIFT. DRAIN.,Hits fast. Heals on impact. DRAIN feeds your Hero. The heal triggers ILLUMINATE. Solar Lancer doesn't attack. He starts a CHAIN REACTION.,True,CORE,
lum_s18,Righteous Fury,Luminar,Spell,,Rare,5,,,,"Give a minion +4/+4 and DRAIN. If your Hero is at full Health, also give it DOUBLE STRIKE.",Massive buff + DRAIN. Full health? DOUBLE STRIKE. The Luminar at full health are TERRIFYING. This is why.,True,CORE,
lum_m29,Blessed Martyr,Luminar,Minion,,Rare,3,2,4,LAST WORDS,LAST WORDS: Give all friendly minions +2/+2 and restore 3 Health to your Hero.,Dies for the cause. The cause gets +2/+2 everywhere AND a heal. Luminar martyrdom: everybody else's best day.,True,CORE,
lum_s19,WRATH OF THE LUMINAR,Luminar,Spell,,Epic,3,,,,Deal 1 damage to all enemies for each time you've healed this game. (Max 10.) Restore 3 Health to your Hero.,Every heal you've ever cast. Every ILLUMINATE trigger. The Luminar COUNTED. Healed 8 times? Eight to EVERYTHING. Plus another heal. Plus ILLUMINATE fires. The light kept RECEIPTS and the bill is due NOW.,True,CORE,
lum_m30,RADIANT FORTRESS,Luminar,Minion,,Epic,6,4,10,"GUARDIAN, ILLUMINATE",GUARDIAN. Your Hero can't take more than 3 damage per attack. ILLUMINATE: Gain +0/+3 and restore 2 Health to your Hero.,A 4/10 GUARDIAN with a divine damage cap. Your hero takes max 3 per hit. Every heal grows the wall THICKER. After two heals it's a 4/16. The Luminar built this fortress from pure light and STUBBORNNESS.,True,CORE,
lum_s20,SAINT'S SACRIFICE,Luminar,Spell,,Epic,4,,,,Destroy a friendly minion. Deal damage to all enemies equal to its Health. Restore that much Health to your Hero.,Kill your own 3/8. Eight damage to everything. Eight health restored. ILLUMINATE fires everywhere. One sacrifice. Total board wipe. Full heal. The holiest nuke the Luminar ever built. They built it on PURPOSE.,True,CORE,
lum_s21,DIVINE CONVERGENCE,Luminar,Spell,,Epic,5,,,,"Trigger ALL friendly ILLUMINATE effects three times. For the rest of this turn, whenever you heal, trigger all ILLUMINATE effects an additional time.",Triple ILLUMINATE across your entire board. Then every heal afterward adds ANOTHER full round. Four ILLUMINATE minions? TWELVE immediate triggers. Then every subsequent heal adds FOUR more. The board goes SUPERNOVA.,True,CORE,
lum_m31,ARCHON'S CHOSEN,Luminar,Minion,,Epic,8,6,8,"BARRIER, GUARDIAN, ILLUMINATE",BARRIER. GUARDIAN. ILLUMINATE: Gain +3/+3 and DRAIN.,Chosen by the Archon. A 6/8 BARRIER GUARDIAN that grows +3/+3 per heal and gains DRAIN. After one heal it's a 9/11. After two it's a 12/14. The Archon chose WELL.,True,CORE,
lum_m32,"SOLARIUS, THE UNDYING LIGHT",Luminar,Minion,,Legendary,9,6,10,"BARRIER, DRAIN",BARRIER. DRAIN. End of Turn: Fully heal all friendly minions and trigger all ILLUMINATE effects. ILLUMINATE: Give all friendly minions +2/+2.,"The light doesn't set on the Luminar. It KNEELS. Every turn: full board heal, all ILLUMINATE fires, everything grows +2/+2. Solarius doesn't win fights. He makes your entire board UNKILLABLE.",True,CORE,
lum_m33,DAWN'S LAST PROPHET,Luminar,Minion,,Legendary,7,5,5,DEPLOY,"DEPLOY: For the rest of the game, your Hero Power restores 5 Health instead of 3 and costs (0). ILLUMINATE effects trigger twice.",She saw the end. Then she REWROTE it. Free hero power. Five health per tap. Double ILLUMINATE permanently. The Luminar's most dangerous cleric.,True,CORE,
lum_m34,THE SOLAR ENGINE,Luminar,Minion,Elemental,Legendary,6,0,12,,Can't attack. Start of Turn: Restore 3 Health to your Hero. End of Turn: Deal damage to a random enemy equal to the total Health you restored this turn.,Auto-heals you. Then CONVERTS every point of healing into end-of-turn damage. Healed 8 this turn? Eight to a random enemy. The Luminar built a machine that turns KINDNESS into VIOLENCE.,True,CORE,
lum_m35,SAINT ELYSIA THE MARTYR,Luminar,Minion,,Legendary,4,3,5,"ILLUMINATE, LAST WORDS","ILLUMINATE: Give all friendly minions +1/+1. LAST WORDS: For the rest of the game, whenever you heal, give all friendly minions +1/+1.",Alive: every heal buffs your ENTIRE board. Dead: every heal STILL buffs your entire board. PERMANENTLY. Kill her and the effect lasts FOREVER. Leave her and she does it through ILLUMINATE. There is no winning move against the Saint.,True,CORE,
lum_s22,THE FINAL DAWN,Luminar,Spell,,Legendary,10,,,,Fully heal your Hero. Deal damage to all enemies equal to your Hero's max Health. Trigger all friendly ILLUMINATE effects three times. Give all friendly minions BARRIER.,Full heal. Thirty damage to everything. Triple ILLUMINATE across your entire board. BARRIER on everyone. One spell. The Luminar rose for the LAST TIME. And they brought EVERYTHING.,True,CORE,
